COMPANY_ID,COMPANY_UUID,LEGAL_NAME,TRADING_NAME,REGISTRATION_NUMBER,LEI_CODE,TAX_ID,INCORPORATION_DATE,INCORPORATION_COUNTRY_ID,HEADQUARTERS_COUNTRY_ID,INDUSTRY_ID,COMPANY_TYPE,EMPLOYEE_COUNT,ANNUAL_REVENUE_USD,PUBLIC_LISTED,STOCK_EXCHANGE,TICKER_SYMBOL,KYC_STATUS,KYC_VERIFIED_DATE,KYC_EXPIRY_DATE,KYC_RISK_RATING,PEP_ASSOCIATED,SANCTIONS_HIT,ADVERSE_MEDIA_FLAG,RELATIONSHIP_START_DATE,RELATIONSHIP_MANAGER_ID,CLIENT_SEGMENT,IS_ACTIVE,CREATED_AT,UPDATED_AT
1,f68a1b54-4c64-4979-a29a-6665201f587a,Oliver Wyman LLC,Govini,REG-NLD-000001,,TAX-099517,2010-10-03,21,21,15,CORPORATION,367,4236381.13,False,,,REJECTED,2020-04-15,2021-04-15,LOW,False,False,False,2020-01-02,,INSTITUTIONAL,True,2020-01-02 20:03:58,2026-06-24 16:17:29
2,fbbb1a0c-7e56-4a86-856d-63026c71c41c,Optensity LLC,Level One Technologies,REG-JPN-000002,,TAX-795581,2009-09-10,5,5,14,PARTNERSHIP,3545,1058479.67,False,,,PENDING,2022-06-03,2023-06-03,LOW,False,False,False,2021-02-03,,SME,True,2021-02-03 04:41:09,2026-06-24 16:17:29
3,496deba1-46e5-4173-a131-34f0400ee127,WebFilings SOLE_PROP,EMC,REG-NLD-000003,,TAX-997474,2008-02-15,21,21,8,CORPORATION,7992,381753.34,False,,,PENDING,2020-06-23,2021-06-23,MEDIUM,False,False,False,2018-04-23,,SME,True,2018-04-23 04:22:27,2026-06-24 16:17:29
4,6ff11e6a-a2c5-436b-bf03-e1c77ed9dfa9,"Docket Alarm, Inc. CORPORATION",REI Systems,REG-VGB-000004,,TAX-029831,1993-10-25,10,10,12,PARTNERSHIP,3834,1800496.93,False,,,PENDING,2023-07-10,2024-07-10,MEDIUM,False,False,False,2006-10-28,,SME,True,2006-10-28 18:00:53,2026-06-24 16:17:29
5,dd235c01-0074-45e7-bab7-a28f769cd630,Sophic Systems Alliance CORPORATION,Kyruus,REG-AUS-000005,,TAX-911123,2013-05-27,19,19,1,PARTNERSHIP,3082,3015237.14,False,,,EXPIRED,2018-11-16,2019-11-16,LOW,False,False,False,2015-12-05,,CORPORATE,True,2015-12-05 14:59:29,2026-06-24 16:17:29
6,bd605fed-99c9-42a2-b58f-370defdb503a,AutoGrid Systems CORPORATION,Arrive Labs,REG-CYM-000006,,TAX-233145,1998-10-05,9,9,1,CORPORATION,3506,39359.92,False,,,EXPIRED,2021-12-21,2022-12-21,MEDIUM,False,False,False,2009-02-15,,CORPORATE,True,2009-02-15 16:23:26,2026-06-24 16:17:29
7,fa028406-a41e-4a43-9dc2-c4dead8477e5,OptumInsight LLC,U.S. News Schools,REG-USA-000007,,TAX-875063,2023-04-19,1,1,1,CORPORATION,6313,507527.8,False,,,EXPIRED,2025-10-29,2026-10-29,HIGH,False,False,False,2025-09-30,,CORPORATE,True,2025-09-30 14:53:43,2026-06-24 16:17:29
11,672cb933-1bc0-4a44-adf9-6102b00bd410,Epsilon SOLE_PROP,Gallup,REG-NLD-000011,,TAX-421246,2023-08-11,21,21,9,FOUNDATION,3255,13041842.98,False,,,VERIFIED,2026-05-24,2027-05-24,LOW,False,False,False,2026-04-09,,INSTITUTIONAL,True,2026-04-09 14:09:43,2026-06-24 16:17:29
12,21e1ea42-9ea5-4469-aa14-40df0d7cac21,AllState Insurance Group SOLE_PROP,CONNECT-DOT LLC.,REG-SGP-000012,,TAX-891412,2019-12-16,6,6,8,CORPORATION,8733,4115398.09,False,,,VERIFIED,2026-05-15,2027-05-15,LOW,False,False,False,2023-06-16,,SME,True,2023-06-16 22:34:09,2026-06-24 16:17:29
15,2d1f98d2-c538-488d-b619-a0092a36dd8c,Granicus CORPORATION,Level One Technologies,REG-USA-000015,,TAX-204632,2001-07-10,1,1,2,PARTNERSHIP,9947,147471.36,False,,,VERIFIED,2026-06-13,2027-06-13,LOW,False,False,False,2026-06-05,,CORPORATE,True,2026-06-05 16:37:16,2026-06-24 16:17:29
17,214c16f9-0337-4f0f-ba29-397a110b0ef8,The DocGraph Journal CORPORATION,Socrata,REG-SGP-000017,,TAX-123684,2022-12-22,6,6,4,CORPORATION,7666,5525253.84,False,,,VERIFIED,2026-01-24,2027-01-24,LOW,False,False,False,2025-11-23,,CORPORATE,True,2025-11-23 02:46:59,2026-06-24 16:17:29
20,5ddec71c-bef7-4f5d-98e8-7509b9cc4769,Zurich Insurance (Risk Room) LLC,iRecycle,REG-JPN-000020,,TAX-557100,2007-01-21,5,5,9,CORPORATION,4457,2971741.67,False,,,REJECTED,2014-09-24,2015-09-24,LOW,False,False,False,2014-01-25,,INSTITUTIONAL,True,2014-01-25 07:00:51,2026-06-24 16:17:29
21,a4b2932f-0bd4-4b51-8793-f9f2c583fbef,Abt Associates CORPORATION,Government Transaction Services,REG-JPN-000021,,TAX-579470,2008-12-13,5,5,2,TRUST,4258,888884.6,False,,,REJECTED,2022-07-05,2023-07-05,LOW,False,False,False,2021-06-23,,INSTITUTIONAL,True,2021-06-23 14:20:23,2026-06-24 16:17:29
22,091aaecf-3107-4545-b541-e4f8e7c66464,Sophic Systems Alliance PARTNERSHIP,Moody's,REG-PAN-000022,,TAX-597860,2012-09-12,11,11,2,PARTNERSHIP,4400,66109.29,False,,,PENDING,2025-10-11,2026-10-11,HIGH,False,False,False,2021-08-22,,SME,True,2021-08-22 18:28:14,2026-06-24 16:17:29
23,3bfadcfb-804e-4e43-81d4-f12e5192205a,Glassy Media CORPORATION,BuildFax,REG-HKG-000023,,TAX-196270,2020-03-05,7,7,14,PARTNERSHIP,10004,75619.53,False,,,PENDING,2026-05-10,2027-05-10,LOW,False,False,False,2026-03-13,,SME,True,2026-03-13 00:36:46,2026-06-24 16:17:29
24,e4d00bcb-7269-4b7c-a593-46f92dca28d2,Next Step Living CORPORATION,OTC Markets,REG-FRA-000024,,TAX-759882,2015-10-29,4,4,12,LLC,8751,964091.45,False,,,PENDING,2023-12-13,2024-12-13,LOW,False,False,False,2023-09-29,,SME,True,2023-09-29 03:29:42,2026-06-24 16:17:29
25,c3cd7efc-fdb3-456f-b37f-0cba612fb675,Rank and Filed CORPORATION,Certara,REG-JPN-000025,,TAX-037789,1996-02-29,5,5,8,PARTNERSHIP,4907,3385011.66,False,,,EXPIRED,2011-07-10,2012-07-10,LOW,False,False,False,2007-05-16,,CORPORATE,True,2007-05-16 21:22:31,2026-06-24 16:17:29
26,66007aeb-5bb4-4d5e-a399-42b24abb7b66,SlashDB CORPORATION,(Leg)Cyte,REG-BRA-000026,,TAX-381996,2015-11-13,18,18,4,LLC,7734,98086.98,False,,,EXPIRED,2019-10-08,2020-10-08,LOW,True,False,False,2018-03-07,,CORPORATE,True,2018-03-07 09:07:21,2026-06-24 16:17:29
27,d28db20e-85aa-456b-a126-5b1728bf34ac,MarketSense CORPORATION,DataMarket,REG-PRK-000027,,TAX-652183,2019-08-24,15,15,9,LLC,4411,546750.92,False,,,EXPIRED,2022-05-01,2023-05-01,LOW,False,False,False,2020-12-12,,CORPORATE,True,2020-12-12 12:24:00,2026-06-24 16:17:29
33,37a58263-9482-4f94-b019-ab203670a26a,NuCivic PARTNERSHIP,Compliance and Risks,REG-RUS-000033,,TAX-777985,2016-06-29,13,13,8,LLC,5192,6937409.77,False,,,VERIFIED,2026-02-15,2027-02-15,MEDIUM,False,False,False,2024-02-14,,SME,True,2024-02-14 19:06:15,2026-06-24 16:17:29
34,8944f55a-6c7c-4b73-98bb-f7b0ebfbab19,MarketSense CORPORATION,Code for America,REG-DEU-000034,,TAX-574757,1992-10-08,3,3,11,PARTNERSHIP,139,1555605.33,False,,,VERIFIED,2026-06-18,2027-06-18,LOW,False,False,False,2026-04-08,,SME,True,2026-04-08 14:07:03,2026-06-24 16:17:29
40,7b3cbffc-2866-47f3-9806-1f4f30bbcbff,FlightView CORPORATION,"Urban Mapping, Inc",REG-FRA-000040,,TAX-877305,2008-11-17,4,4,16,PARTNERSHIP,1848,99641.19,False,,,REJECTED,2024-09-01,2025-09-01,LOW,False,False,False,2016-01-07,,INSTITUTIONAL,True,2016-01-07 15:27:05,2026-06-24 16:17:29
41,af2d2179-45bf-4908-9c08-baec27800c2a,OptumInsight LLC,"Qado Energy, Inc.",REG-NLD-000041,,TAX-143256,1999-01-07,21,21,7,PARTNERSHIP,3108,3909909.14,False,,,REJECTED,2024-01-07,2025-01-07,LOW,False,False,False,2010-04-19,,INSTITUTIONAL,True,2010-04-19 16:05:14,2026-06-24 16:17:29
42,eb565caa-dc4a-4806-8ed1-452911640f52,Boston Consulting Group PARTNERSHIP,Standard and Poor's,REG-SGP-000042,,TAX-437196,2001-03-08,6,6,12,LLC,1666,31901537.98,False,,,PENDING,2022-05-06,2023-05-06,HIGH,False,False,False,2013-09-20,,SME,True,2013-09-20 21:46:45,2026-06-24 16:17:29
43,3d50f4a0-b256-4bd1-af20-f44c1affacee,Municode LLC,Berkery Noyes MandASoft,REG-NLD-000043,,TAX-328471,1992-10-28,21,21,2,PARTNERSHIP,2207,977479.91,False,,,PENDING,2022-05-23,2023-05-23,LOW,False,True,False,2014-03-24,,SME,True,2014-03-24 07:39:08,2026-06-24 16:17:29
44,316fca92-5b57-44ad-a3d2-4fdab0a8cbc2,SpeSo Health PARTNERSHIP,"HealthPocket, Inc.",REG-NLD-000044,,TAX-862269,2017-04-26,21,21,3,CORPORATION,7112,10228041.54,False,,,PENDING,2023-05-21,2024-05-21,LOW,False,False,False,2018-02-13,,SME,True,2018-02-13 05:43:07,2026-06-24 16:17:29
45,5facf48a-1c1a-4013-b3e8-f0cb12b77afe,48 Factoring Inc. LLC,Geolytics,REG-GBR-000045,,TAX-797274,2003-02-09,2,2,15,CORPORATION,7586,2779557.87,False,,,EXPIRED,2026-05-23,2027-05-23,LOW,False,False,True,2018-12-20,,CORPORATE,True,2018-12-20 19:13:15,2026-06-24 16:17:29
46,871aa6fd-581d-4730-8838-6d2712d53234,iFactor Consulting TRUST,Standard and Poor's,REG-AUS-000046,,TAX-463268,2016-08-17,19,19,7,PARTNERSHIP,1776,8509530.55,False,,,EXPIRED,2019-02-13,2020-02-13,LOW,False,False,False,2018-04-16,,CORPORATE,True,2018-04-16 10:19:44,2026-06-24 16:17:29
47,66e0579a-5e38-484f-83fa-850459e7c5a3,Govini PARTNERSHIP,Lilly Open Innovation Drug Discovery,REG-HKG-000047,,TAX-977547,2002-04-01,7,7,5,PARTNERSHIP,6776,247336.84,False,,,EXPIRED,2019-09-24,2020-09-24,HIGH,False,False,False,2017-02-03,,CORPORATE,True,2017-02-03 18:21:55,2026-06-24 16:17:29
53,bcdc06f4-75a8-4681-a2cb-fd663edfa2fa,Datamyne CORPORATION,YourMapper,REG-JPN-000053,,TAX-663753,2014-10-01,5,5,11,CORPORATION,1458,12760480.67,False,,,VERIFIED,2025-11-04,2026-11-04,LOW,False,False,False,2022-02-25,,SME,True,2022-02-25 15:48:53,2026-06-24 16:17:29
55,618215d6-3105-4bad-ac1b-45eaa18d4b0f,SAP SOLE_PROP,Equal Pay for Women,REG-USA-000055,,TAX-487483,1997-11-12,1,1,1,CORPORATION,7681,1177614.49,False,,,VERIFIED,2026-03-08,2027-03-08,LOW,False,False,False,2024-10-22,,CORPORATE,True,2024-10-22 17:59:48,2026-06-24 16:17:29
60,c6c8f6ed-0168-4ad4-97eb-5f74cb1714eb,CoreLogic CORPORATION,Department of Better Technology,REG-CHN-000060,,TAX-327747,2010-08-24,16,16,15,LLC,658,149746.27,False,,,REJECTED,2019-03-04,2020-03-04,LOW,False,False,False,2017-07-16,,INSTITUTIONAL,True,2017-07-16 07:30:32,2026-06-24 16:17:29
61,8c521da8-3081-4d6f-9196-cf13b94c6789,Berkery Noyes MandASoft PARTNERSHIP,Porch,REG-IND-000061,,TAX-773635,1993-08-17,17,17,3,CORPORATION,6277,170336.43,False,,,REJECTED,2025-02-14,2026-02-14,LOW,False,False,False,2024-06-03,,INSTITUTIONAL,True,2024-06-03 06:51:25,2026-06-24 16:17:29
62,712bd30b-db82-4c4c-8a7c-af9c7e90656f,Impaq International PARTNERSHIP,ProPublica,REG-USA-000062,,TAX-815650,2012-01-27,1,1,7,CORPORATION,8449,4945607.79,False,,,PENDING,2021-09-14,2022-09-14,HIGH,False,False,False,2015-05-25,,SME,True,2015-05-25 15:31:31,2026-06-24 16:17:29
63,35b109e2-c8eb-44db-bb84-b8e2d02edbe3,Practice Fusion LLC,nGAP Incorporated,REG-USA-000063,,TAX-260765,2011-02-01,1,1,3,SOLE_PROP,3880,8090577.78,False,,,PENDING,2014-09-30,2015-09-30,LOW,False,False,False,2013-02-01,,SME,True,2013-02-01 06:01:12,2026-06-24 16:17:29
64,b71ed7cb-e1e5-425f-8553-964db50f4ad4,Amazon Web Services SOLE_PROP,ProgrammableWeb,REG-USA-000064,,TAX-736980,2012-03-20,1,1,3,CORPORATION,4055,98729.94,False,,,PENDING,2019-10-20,2020-10-20,LOW,False,False,False,2015-08-25,,SME,True,2015-08-25 03:17:26,2026-06-24 16:17:29
65,6814ef57-0c47-4d58-ac5b-95c75176f498,ClearStory Data CORPORATION,Dabo Health,REG-RUS-000065,,TAX-110693,1991-12-11,13,13,10,LLC,8809,2558469.04,False,,,EXPIRED,2011-12-12,2012-12-12,HIGH,False,False,False,2011-01-15,,CORPORATE,True,2011-01-15 04:48:10,2026-06-24 16:17:29
66,8df52a48-1744-4e8f-a5c4-bef676f2d446,Import.io CORPORATION,Innovest Systems,REG-USA-000066,,TAX-343740,2007-03-31,1,1,6,LLC,1009,5335554.37,False,,,EXPIRED,2026-05-14,2027-05-14,LOW,False,False,False,2026-02-15,,CORPORATE,True,2026-02-15 16:49:16,2026-06-24 16:17:29
67,4047aac1-b093-4ee4-85f3-9368a91efac8,SolarList LLC,AreaVibes Inc.,REG-RUS-000067,,TAX-832901,2009-05-29,13,13,3,LLC,7989,28069375.83,False,,,EXPIRED,2021-03-26,2022-03-26,MEDIUM,False,False,False,2019-04-30,,CORPORATE,True,2019-04-30 02:03:41,2026-06-24 16:17:29
70,757032a4-86ed-4704-9226-96ae22e51b54,"VisualDoD, LLC CORPORATION",Cambridge Semantics,REG-AUS-000070,,TAX-515165,2020-06-10,19,19,6,CORPORATION,3793,8025141.91,False,,,VERIFIED,2026-03-17,2027-03-17,LOW,False,False,False,2024-03-08,,INSTITUTIONAL,True,2024-03-08 11:01:07,2026-06-24 16:17:29
76,8b922649-66b1-4352-861b-d94e696f5c47,Yelp LLC,Import.io,REG-DEU-000076,,TAX-327981,2003-12-12,3,3,7,SOLE_PROP,6024,248707.29,False,,,VERIFIED,2025-12-26,2026-12-26,LOW,False,False,False,2010-05-19,,CORPORATE,True,2010-05-19 00:14:19,2026-06-24 16:17:29
78,6f3ce35b-2c65-4702-a945-f5fe9b84059b,SnapSense LLC,OpenPlans,REG-FRA-000078,,TAX-612469,2004-03-12,4,4,3,LLC,7896,20251868.01,False,,,VERIFIED,2026-04-15,2027-04-15,LOW,False,False,False,2018-05-06,,CORPORATE,True,2018-05-06 08:08:03,2026-06-24 16:17:29
80,75276a6a-c06a-41a7-8173-897411b46c6e,ConnectEDU CORPORATION,HopStop,REG-JPN-000080,,TAX-150447,2015-11-13,5,5,8,CORPORATION,7412,11786193.15,False,,,REJECTED,2025-11-16,2026-11-16,HIGH,False,False,True,2019-10-31,,INSTITUTIONAL,True,2019-10-31 06:08:10,2026-06-24 16:17:29
81,4f04cfb8-6ec3-40f8-8d4d-24d195cdad81,Wolters Kluwer CORPORATION,Azavea,REG-USA-000081,,TAX-767923,2013-11-10,1,1,12,CORPORATION,6919,22999.64,False,,,REJECTED,2025-02-23,2026-02-23,LOW,False,False,False,2022-03-15,,INSTITUTIONAL,True,2022-03-15 22:19:40,2026-06-24 16:17:29
82,2891582f-68dc-4b54-9b8e-b2bb113a9569,Bloomberg LLC,PowerAdvocate,REG-SGP-000082,,TAX-502452,2003-04-14,6,6,5,CORPORATION,272,119854.72,False,,,PENDING,2023-06-01,2024-06-01,LOW,False,False,False,2022-10-23,,SME,True,2022-10-23 06:43:07,2026-06-24 16:17:29
83,1121e228-46e5-43ce-b97c-ca09f9da3e8b,Vimo PARTNERSHIP,Caspio,REG-AUS-000083,,TAX-029440,1997-10-02,19,19,11,PARTNERSHIP,196,1372777.1,False,,,PENDING,2013-11-17,2014-11-17,HIGH,False,False,False,2005-03-03,,SME,True,2005-03-03 08:56:22,2026-06-24 16:17:29
84,6b1beeac-fd0a-44ae-aab2-30d91cac8a51,ProPublica PARTNERSHIP,Zillow,REG-USA-000084,,TAX-715450,1996-01-07,1,1,3,PARTNERSHIP,5984,1182177.81,False,,,PENDING,2024-03-30,2025-03-30,LOW,False,False,False,2023-10-25,,SME,True,2023-10-25 18:42:21,2026-06-24 16:17:29
85,6d20a461-b96a-4062-95b0-6fc77e3a6593,Alarm.com PARTNERSHIP,Quandl,REG-CHE-000085,,TAX-108631,2023-06-22,8,8,16,PARTNERSHIP,3405,460657.03,False,,,EXPIRED,2024-07-05,2025-07-05,LOW,False,False,False,2024-05-04,,CORPORATE,True,2024-05-04 03:21:59,2026-06-24 16:17:29
86,92369749-1c03-4803-b49f-dc0073c93d7b,"Junar, Inc. LLC",TuvaLabs,REG-DEU-000086,,TAX-713901,2013-10-03,3,3,11,SOLE_PROP,4883,440239.89,False,,,EXPIRED,2023-03-15,2024-03-15,LOW,False,False,False,2020-12-01,,CORPORATE,True,2020-12-01 18:44:28,2026-06-24 16:17:29
87,e1d85f7e-f08e-49aa-8fb4-2e68eaecd6f6,DataMarket SOLE_PROP,Harris Corporation,REG-AUS-000087,,TAX-682472,2021-09-13,19,19,1,LLC,5305,1024566.04,False,,,EXPIRED,2024-09-17,2025-09-17,MEDIUM,False,False,False,2023-12-17,,CORPORATE,True,2023-12-17 08:54:04,2026-06-24 16:17:29
91,91f63879-9156-4c8d-a90d-01bfc797ee56,Lenddo FOUNDATION,Standard and Poor's,REG-USA-000091,,TAX-979555,2019-04-17,1,1,14,CORPORATION,2451,8737.13,False,,,VERIFIED,2026-01-04,2027-01-04,LOW,False,False,False,2025-09-13,,INSTITUTIONAL,True,2025-09-13 18:16:50,2026-06-24 16:17:29
97,45df1541-016c-4218-9384-3e242497a2ec,Quandl FOUNDATION,Geofeedia,REG-FRA-000097,,TAX-540041,2001-10-13,4,4,2,CORPORATION,5742,1923151.64,False,,,VERIFIED,2025-12-02,2026-12-02,LOW,False,False,False,2021-09-15,,CORPORATE,True,2021-09-15 17:30:05,2026-06-24 16:17:29
100,b8e021fd-455f-465d-a39b-1262830c89a5,"PayScale, Inc. SOLE_PROP",eScholar LLC.,REG-HKG-000100,,TAX-082327,1991-04-07,7,7,13,SOLE_PROP,6048,1161905.56,False,,,REJECTED,2021-07-30,2022-07-30,LOW,False,False,True,2015-02-03,,INSTITUTIONAL,True,2015-02-03 07:16:32,2026-06-24 16:17:29
101,06b46b85-7167-49f1-b4cc-9df839ac2a6a,xDayta PARTNERSHIP,Harris Corporation,REG-HKG-000101,,TAX-808984,2002-02-24,7,7,5,SOLE_PROP,1080,919058.97,False,,,REJECTED,2025-05-03,2026-05-03,LOW,False,False,False,2024-08-14,,INSTITUTIONAL,True,2024-08-14 16:33:40,2026-06-24 16:17:29
102,2c3dfedc-3a16-44aa-89b4-ac0e237d93e2,"VisualDoD, LLC CORPORATION",Knowledge Agency,REG-GBR-000102,,TAX-227983,2001-02-27,2,2,2,CORPORATION,2139,23900645.47,False,,,PENDING,2024-11-01,2025-11-01,MEDIUM,False,False,False,2022-11-05,,SME,True,2022-11-05 22:36:22,2026-06-24 16:17:29
103,ed16474a-0764-4f7b-8b53-0fdc30db31b2,Rapid Cycle Solutions CORPORATION,Rapid Cycle Solutions,REG-AUS-000103,,TAX-188505,1995-01-17,19,19,13,CORPORATION,9109,58767.93,False,,,PENDING,2023-07-01,2024-07-01,LOW,False,False,False,2005-06-26,,SME,True,2005-06-26 15:11:50,2026-06-24 16:17:29
104,e0dad0ac-f199-49c6-968d-bbab7bbd3714,Ranku CORPORATION,PYA Analytics,REG-DEU-000104,,TAX-661409,2021-12-16,3,3,16,TRUST,8437,241507.4,False,,,PENDING,2025-03-15,2026-03-15,LOW,True,True,False,2024-11-24,,SME,True,2024-11-24 15:21:34,2026-06-24 16:17:29
105,c6336d06-fd59-42a6-b8a9-d05e7e8a3341,Biovia CORPORATION,Ez-XBRL,REG-AUS-000105,,TAX-617947,1994-09-29,19,19,16,CORPORATION,1581,84372.11,False,,,EXPIRED,2023-01-30,2024-01-30,LOW,False,False,False,2015-07-03,,CORPORATE,True,2015-07-03 05:28:06,2026-06-24 16:17:29
106,2d32ce9d-59f8-4cb9-bbbf-a172110fd7c6,Compliance and Risks PARTNERSHIP,DataMade,REG-CYM-000106,,TAX-546344,1999-10-14,9,9,15,LLC,7707,989885.21,False,,,EXPIRED,2023-01-12,2024-01-12,LOW,False,False,True,2022-08-09,,CORPORATE,True,2022-08-09 20:30:00,2026-06-24 16:17:29
