COMPANY_ID,TOTAL_DECLARED_PCT,OWNER_COUNT
1,92.07,3
2,119.45,4
3,84.76,2
4,94.93,3
5,96.33,3
6,33.68,1
7,130.65,3
8,137.26,4
9,40.7,1
10,95.01,4
11,40.28,1
12,35.75,1
13,92.77,2
14,44.73,1
15,129.19,4
16,95.01,4
17,121.74,3
18,119.53,3
19,82.5,2
20,51.86,1
21,77.38,2
22,30.67,1
23,54.66,1
24,33.93,1
25,110.38,3
26,101.49,3
27,95.01,4
28,61.36,1
29,53.06,1
30,122.46,3
31,65.37,1
32,45.61,1
33,116.43,4
34,95.01,4
35,56.2,2
36,54.93,2
37,143.83,4
38,62.49,1
39,126.79,4
40,95.01,4
41,50.51,1
42,98.54,3
43,75.52,2
44,67.26,1
45,47.57,1
46,104.74,2
47,86.22,3
48,95,3
49,38.84,1
50,99.11,2
51,60.83,1
52,130.62,4
53,115.79,3
54,109.22,4
55,48.54,1
56,106.19,2
57,47.43,1
58,61.95,1
59,44.09,2
60,40.75,1
61,95.01,4
62,128.86,4
63,127.2,3
64,95.01,4
65,95.01,4
66,46.89,1
67,37.97,1
68,68.87,1
69,42.91,1
70,98.26,2
71,35.18,1
72,38.91,1
73,40.74,1
74,95,3
75,64.6,2
76,55.93,2
77,54.67,2
78,96.13,3
79,95.01,4
80,84.01,4
81,40.11,1
82,92.85,3
83,95.01,4
84,85.48,2
85,133.59,4
86,61.11,1
87,123.31,4
88,43.26,1
89,67.71,1
90,100.59,3
91,143.98,4
92,50.43,1
93,44.16,1
94,85.47,2
95,44.02,1
96,110.21,3
97,87.68,3
98,52.65,1
99,76.87,2
100,67.41,1
101,77.45,2
102,91.18,2
103,95,3
104,141.5,4
105,127.78,3
106,46.07,1
107,63.56,2
108,134.12,3
109,74.41,2
110,94.59,3
111,64.62,1
112,59.47,1
113,66.23,2
114,95.01,4
115,133.33,4
116,106.68,2
117,95.99,2
118,119.47,4
119,121.69,4
120,113.41,3
121,88.74,2
122,132.97,4
123,45.82,1
124,44.38,2
125,40.17,1
126,57.4,1
127,57.12,1
128,39.72,1
129,133.23,3
130,31.77,1
131,100.66,3
132,95.01,4
133,136.86,3
134,36.15,1
135,62.33,1
136,141.82,3
137,139.84,4
138,95.01,4
139,140.27,3
140,83.93,3
141,44.86,1
142,59.41,1
143,133.61,4
144,69.37,2
145,53.56,1
146,95.01,4
147,134.41,4
148,98.55,2
149,62.43,1
150,133.52,3
151,110.57,3
152,46.1,1
153,95.01,4
154,89.17,3
155,102.03,4
156,49.29,1
157,119.39,4
158,138.91,4
159,61.88,1
160,113.2,3
161,138.19,4
162,64.56,1
163,105.11,4
164,122.78,4
165,110.51,4
166,35.58,1
167,106.05,4
