COUNTRY_ID,COUNTRY_CODE,COUNTRY_NAME,REGION_ID,FATF_STATUS,SANCTIONS_LIST,CORRUPTION_INDEX,RISK_TIER,CREATED_AT,UPDATED_AT
1,USA,United States,3,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
2,GBR,United Kingdom,2,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
3,DEU,Germany,2,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
4,FRA,France,2,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
5,JPN,Japan,1,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
6,SGP,Singapore,1,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
7,HKG,Hong Kong,1,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
8,CHE,Switzerland,2,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
9,CYM,Cayman Islands,3,GREY_LIST,False,50,HIGH,2026-06-24 16:17:29,2026-06-24 16:17:29
10,VGB,British Virgin Islands,3,GREY_LIST,False,50,HIGH,2026-06-24 16:17:29,2026-06-24 16:17:29
11,PAN,Panama,4,GREY_LIST,False,50,HIGH,2026-06-24 16:17:29,2026-06-24 16:17:29
12,ARE,United Arab Emirates,2,GREY_LIST,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
13,RUS,Russia,2,NON_COMPLIANT,True,50,HIGH,2026-06-24 16:17:29,2026-06-24 16:17:29
14,IRN,Iran,2,BLACK_LIST,True,50,HIGH,2026-06-24 16:17:29,2026-06-24 16:17:29
15,PRK,North Korea,1,BLACK_LIST,True,50,HIGH,2026-06-24 16:17:29,2026-06-24 16:17:29
16,CHN,China,1,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
17,IND,India,1,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
18,BRA,Brazil,4,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
19,AUS,Australia,1,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
20,CAN,Canada,3,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
21,NLD,Netherlands,2,MEMBER,False,50,LOW,2026-06-24 16:17:29,2026-06-24 16:17:29
22,LUX,Luxembourg,2,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
23,MYS,Malaysia,1,MEMBER,False,50,MEDIUM,2026-06-24 16:17:29,2026-06-24 16:17:29
