RULE_ID,RULE_CODE,RULE_NAME,RULE_DESCRIPTION,RULE_CATEGORY,RULE_LOGIC,THRESHOLD_VALUE,THRESHOLD_CURRENCY,TIME_WINDOW_HOURS,ALERT_PRIORITY,RISK_SCORE_IMPACT,IS_ACTIVE,EFFECTIVE_DATE,EXPIRY_DATE,CREATED_BY,CREATED_AT,UPDATED_AT
151,PA001,PATTERN Rule 1,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
152,TH002,THRESHOLD Rule 2,Screening rule for THRESHOLD detection,THRESHOLD,{},50000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
153,PA003,PATTERN Rule 3,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
154,VE004,VELOCITY Rule 4,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
155,TH005,THRESHOLD Rule 5,Screening rule for THRESHOLD detection,THRESHOLD,{},70000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
156,GE006,GEOGRAPHY Rule 6,Screening rule for GEOGRAPHY detection,GEOGRAPHY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
157,VE007,VELOCITY Rule 7,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
158,TH008,THRESHOLD Rule 8,Screening rule for THRESHOLD detection,THRESHOLD,{},30000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
159,PA009,PATTERN Rule 9,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
160,PA010,PATTERN Rule 10,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
161,VE011,VELOCITY Rule 11,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
162,TH012,THRESHOLD Rule 12,Screening rule for THRESHOLD detection,THRESHOLD,{},90000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
163,TH013,THRESHOLD Rule 13,Screening rule for THRESHOLD detection,THRESHOLD,{},50000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
164,TH014,THRESHOLD Rule 14,Screening rule for THRESHOLD detection,THRESHOLD,{},80000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
