TRANSACTION_ID,BENEFICIARY_BANK_BIC,BIC_COUNTRY_CODE
197,WFBIUS6S,US
213,WFBIUS6S,US
399,HSBCUS33,US
617,UBSWCHZH,CH
877,UBSWCHZH,CH
991,BABOROBB,RO
1315,SCBLSGSG,SG
1395,HSBCUS33,US
2592,BOFAUS3N,US
2738,HSBCUS33,US
2936,CHASUS33,US
2996,BOFAUS3N,US
3119,BNPAFRPP,FR
3532,WFBIUS6S,US
3552,WFBIUS6S,US
3818,CHASUS33,US
4113,DEUTDEFF,DE
4129,BABOROBB,RO
4269,SCBLSGSG,SG
4314,HSBCUS33,US
4536,WFBIUS6S,US
4693,CHASUS33,US
4851,UBSWCHZH,CH
5016,CITIUS33,US
5071,SCBLSGSG,SG
5189,DEUTDEFF,DE
5532,BOFAUS3N,US
5858,CHASUS33,US
5876,WFBIUS6S,US
5915,UBSWCHZH,CH
6077,CHASUS33,US
6333,BABOROBB,RO
6393,WFBIUS6S,US
6439,DEUTDEFF,DE
6919,BNPAFRPP,FR
7312,CITIUS33,US
7894,DEUTDEFF,DE
7918,WFBIUS6S,US
7996,SCBLSGSG,SG
8177,BOFAUS3N,US
8269,BNPAFRPP,FR
8434,UBSWCHZH,CH
8498,WFBIUS6S,US
8597,UBSWCHZH,CH
8739,BOFAUS3N,US
8813,SCBLSGSG,SG
8910,SCBLSGSG,SG
9089,SCBLSGSG,SG
9209,CITIUS33,US
9610,WFBIUS6S,US
11689,UBSWCHZH,CH
12855,HSBCUS33,US
13259,WFBIUS6S,US
14894,HSBCUS33,US
15833,BNPAFRPP,FR
17519,DEUTDEFF,DE
18473,HSBCUS33,US
19590,BABOROBB,RO
20713,BABOROBB,RO
20933,HSBCUS33,US
21017,BNPAFRPP,FR
21116,DEUTDEFF,DE
21212,CITIUS33,US
21333,CITIUS33,US
21476,DEUTDEFF,DE
21714,CHASUS33,US
21931,SCBLSGSG,SG
21955,HSBCUS33,US
22034,WFBIUS6S,US
22057,BOFAUS3N,US
